"","Species","Taxon_group","value"
"69","Euonymus europaeus","Bryophytes",21
"70","Euonymus europaeus","Birds",41
"71","Euonymus europaeus","Mammals",5
"72","Euonymus europaeus","Invertebrates",18
"73","Fagus sylvatica","Lichen",682
"74","Fagus sylvatica","Fungi",3744
"75","Fagus sylvatica","Bryophytes",87
"76","Fagus sylvatica","Birds",33
"77","Fagus sylvatica","Mammals",26
"78","Fagus sylvatica","Invertebrates",493
"79","Frangula alnus","Lichen",NA
"80","Frangula alnus","Fungi",58
"81","Frangula alnus","Bryophytes",10
"82","Frangula alnus","Birds",37
"83","Frangula alnus","Mammals",8
"84","Frangula alnus","Invertebrates",28
"85","Fraxinus excelsior","Lichen",959
"86","Fraxinus excelsior","Fungi",2254
"87","Fraxinus excelsior","Bryophytes",144
"88","Fraxinus excelsior","Birds",27
"89","Fraxinus excelsior","Mammals",30
"90","Fraxinus excelsior","Invertebrates",471
"91","Hippophae rhamnoides","Lichen",NA
"92","Hippophae rhamnoides","Fungi",50
"93","Hippophae rhamnoides","Bryophytes",NA
"94","Hippophae rhamnoides","Birds",NA
"95","Hippophae rhamnoides","Mammals",NA
"96","Hippophae rhamnoides","Invertebrates",17
"97","Ilex aquifolium","Lichen",460
"98","Ilex aquifolium","Fungi",980
"99","Ilex aquifolium","Bryophytes",36
"100","Ilex aquifolium","Birds",39
"101","Ilex aquifolium","Mammals",25
"102","Ilex aquifolium","Invertebrates",150
"103","Juniperus communis","Lichen",321
"104","Juniperus communis","Fungi",134
"105","Juniperus communis","Bryophytes",NA
"106","Juniperus communis","Birds",33
"107","Juniperus communis","Mammals",3
"108","Juniperus communis","Invertebrates",36
"109","Ligustrum vulgare","Lichen",60
"110","Ligustrum vulgare","Fungi",163
"111","Ligustrum vulgare","Bryophytes",22
"112","Ligustrum vulgare","Birds",42
"113","Ligustrum vulgare","Mammals",5
"114","Ligustrum vulgare","Invertebrates",65
"115","Malus sylvestris","Lichen",265
"116","Malus sylvestris","Fungi",587
"117","Malus sylvestris","Bryophytes",58
"118","Malus sylvestris","Birds",27
"119","Malus sylvestris","Mammals",26
"120","Malus sylvestris","Invertebrates",345
"121","Pinus sylvestris","Lichen",306
"122","Pinus sylvestris","Fungi",2355
"123","Pinus sylvestris","Bryophytes",51
"124","Pinus sylvestris","Birds",30
"125","Pinus sylvestris","Mammals",24
"126","Pinus sylvestris","Invertebrates",327
"127","Populus nigra","Lichen",51
"128","Populus nigra","Fungi",303
"129","Populus nigra","Bryophytes",6
"130","Populus nigra","Birds",2
"131","Populus nigra","Mammals",14
"132","Populus nigra","Invertebrates",145
"133","Populus tremula","Lichen",479
"134","Populus tremula","Fungi",882
"135","Populus tremula","Bryophytes",76
"136","Populus tremula","Birds",17
"137","Populus tremula","Mammals",14
"138","Populus tremula","Invertebrates",394
"139","Prunus avium","Lichen",192
"140","Prunus avium","Fungi",355
"141","Prunus avium","Bryophytes",26
"142","Prunus avium","Birds",35
"143","Prunus avium","Mammals",15
"144","Prunus avium","Invertebrates",241
"145","Prunus padus","Lichen",124
"146","Prunus padus","Fungi",216
"147","Prunus padus","Bryophytes",7
"148","Prunus padus","Birds",38
"149","Prunus padus","Mammals",3
"150","Prunus padus","Invertebrates",112
"151","Prunus spinosa","Lichen",233
"152","Prunus spinosa","Fungi",580
"153","Prunus spinosa","Bryophytes",54
"154","Prunus spinosa","Birds",43
"155","Prunus spinosa","Mammals",13
"156","Prunus spinosa","Invertebrates",231
"157","Quercus petraea","Lichen",742
"158","Quercus petraea","Fungi",1622
"159","Quercus petraea","Bryophytes",230
"160","Quercus petraea","Birds",34
"161","Quercus petraea","Mammals",43
"162","Quercus petraea","Invertebrates",852
"163","Quercus robur","Lichen",739
"164","Quercus robur","Fungi",2552
"165","Quercus robur","Bryophytes",231
"166","Quercus robur","Birds",41
"167","Quercus robur","Mammals",43
"168","Quercus robur","Invertebrates",1222
"169","Rhamnus cathartica","Lichen",NA
"170","Rhamnus cathartica","Fungi",50
"171","Rhamnus cathartica","Bryophytes",26
"172","Rhamnus cathartica","Birds",39
"173","Rhamnus cathartica","Mammals",2
"174","Rhamnus cathartica","Invertebrates",35
"175","Salix caprea","Lichen",1
"176","Salix caprea","Fungi",523
"177","Salix caprea","Bryophytes",54
"178","Salix caprea","Birds",NA
"179","Salix caprea","Mammals",6
"180","Salix caprea","Invertebrates",284
"181","Salix cinerea","Lichen",NA
"182","Salix cinerea","Fungi",301
"183","Salix cinerea","Bryophytes",54
"184","Salix cinerea","Birds",NA
"185","Salix cinerea","Mammals",6
"186","Salix cinerea","Invertebrates",162
"187","Salix pentandra","Lichen",NA
"188","Salix pentandra","Fungi",61
"189","Salix pentandra","Bryophytes",NA
"190","Salix pentandra","Birds",NA
"191","Salix pentandra","Mammals",NA
"192","Salix pentandra","Invertebrates",31
"193","Salix phylicifolia","Lichen",NA
"194","Salix phylicifolia","Fungi",9
"195","Salix phylicifolia","Bryophytes",NA
"196","Salix phylicifolia","Birds",NA
"197","Salix phylicifolia","Mammals",NA
"198","Salix phylicifolia","Invertebrates",37
"199","Sambucus nigra","Lichen",349
"200","Sambucus nigra","Fungi",662
"201","Sambucus nigra","Bryophytes",92
"202","Sambucus nigra","Birds",59
"203","Sambucus nigra","Mammals",13
"204","Sambucus nigra","Invertebrates",58
"205","Sorbus aria","Lichen",150
"206","Sorbus aria","Fungi",188
"207","Sorbus aria","Bryophytes",31
"208","Sorbus aria","Birds",43
"209","Sorbus aria","Mammals",19
"210","Sorbus aria","Invertebrates",186
"211","Sorbus aucuparia","Lichen",599
"212","Sorbus aucuparia","Fungi",856
"213","Sorbus aucuparia","Bryophytes",75
"214","Sorbus aucuparia","Birds",54
"215","Sorbus aucuparia","Mammals",31
"216","Sorbus aucuparia","Invertebrates",284
"217","Sorbus domestica","Lichen",NA
"218","Sorbus domestica","Fungi",13
"219","Sorbus domestica","Bryophytes",NA
"220","Sorbus domestica","Birds",14
"221","Sorbus domestica","Mammals",3
"222","Sorbus domestica","Invertebrates",1
"223","Sorbus torminalis","Lichen",NA
"224","Sorbus torminalis","Fungi",90
"225","Sorbus torminalis","Bryophytes",15
"226","Sorbus torminalis","Birds",30
"227","Sorbus torminalis","Mammals",25
"228","Sorbus torminalis","Invertebrates",175
"229","Taxus baccata","Lichen",127
"230","Taxus baccata","Fungi",890
"231","Taxus baccata","Bryophytes",15
"232","Taxus baccata","Birds",47
"233","Taxus baccata","Mammals",12
"234","Taxus baccata","Invertebrates",144
"235","Tilia cordata","Lichen",1
"236","Tilia cordata","Fungi",433
"237","Tilia cordata","Bryophytes",55
"238","Tilia cordata","Birds",27
"239","Tilia cordata","Mammals",16
"240","Tilia cordata","Invertebrates",272
"241","Tilia platyphyllos","Lichen",222
"242","Tilia platyphyllos","Fungi",380
"243","Tilia platyphyllos","Bryophytes",24
"244","Tilia platyphyllos","Birds",2
"245","Tilia platyphyllos","Mammals",17
"246","Tilia platyphyllos","Invertebrates",190
"247","Ulmus glabra","Lichen",375
"248","Ulmus glabra","Fungi",781
"249","Ulmus glabra","Bryophytes",75
"250","Ulmus glabra","Birds",19
"251","Ulmus glabra","Mammals",22
"252","Ulmus glabra","Invertebrates",268
"253","Ulmus minor","Lichen",NA
"254","Ulmus minor","Fungi",38
"255","Ulmus minor","Bryophytes",NA
"256","Ulmus minor","Birds",NA
"257","Ulmus minor","Mammals",NA
"258","Ulmus minor","Invertebrates",11
"259","Viburnum lantana","Lichen",NA
"260","Viburnum lantana","Fungi",43
"261","Viburnum lantana","Bryophytes",NA
"262","Viburnum lantana","Birds",36
"263","Viburnum lantana","Mammals",3
"264","Viburnum lantana","Invertebrates",17
"265","Viburnum opulus","Lichen",NA
"266","Viburnum opulus","Fungi",95
"267","Viburnum opulus","Bryophytes",NA
"268","Viburnum opulus","Birds",42
"269","Viburnum opulus","Mammals",4
"270","Viburnum opulus","Invertebrates",20
