"","Row number","Community or sub-community code","Community or sub-community name","Community level code","NVC_Species","Species constancy value","Maximum abundance of species","Special variable value","...9","interactionTypeName","Assoc_Species"
"60",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Quiscalus major"
"61",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"pathogenOf","Burkholderia cenocepacia"
"62",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Anas strepera"
"63",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Anas platyrhynchos"
"64",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Anas castanea"
"65",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Gallinula galeata"
"66",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Gallinula galeata"
"67",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Quiscalus major"
"68",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Anas strepera"
"69",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Anas platyrhynchos"
"70",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Anas castanea"
"71",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Gallinula galeata"
"72",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Gallinula galeata"
"73",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Quiscalus major"
"74",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"pathogenOf","Burkholderia cenocepacia"
"75",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Rhopalosiphum nymphaeae"
"76",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Rhopalosiphum nymphaeae"
"77",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Rhopalosiphum nymphaeae"
"78",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Rhopalosiphum nymphaeae"
"79",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Rhopalosiphum nymphaeae"
"80",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Rhopalosiphum nymphaeae"
"81",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Tanysphyrus lemnae"
"82",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Rhopalosiphum nymphaeae"
"83",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Azolla rubra"
"84",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"hasHost","Phyllosticta aquatica"
"85",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"hasHost","Phyllosticta aquatica"
"86",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"hasHost","Phyllosticta aquatica"
"87",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"hasHost","Phyllosticta aquatica"
"88",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"hasHost","Phyllosticta aquatica"
"89",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"hasHost","Phyllosticta aquatica"
"90",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"hasHost","Phyllosticta aquatica"
"91",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"pathogenOf","Burkholderia cenocepacia"
"92",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Luzula rufescens"
"93",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Lycopus uniflorus"
"94",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Anas strepera"
"95",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Anas platyrhynchos"
"96",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Anas castanea"
"97",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Gallinula galeata"
"98",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Gallinula galeata"
"99",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Quiscalus major"
"100",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Anas platyrhynchos"
"101",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Rallus limicola"
"102",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Porzana carolina"
"103",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Gallinula galeata"
"104",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Gallinula galeata"
"105",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Gallinula galeata"
"106",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Gallinula galeata"
"107",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Gallinula galeata"
"108",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Fulica americana"
"109",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Anas strepera"
"110",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Anas castanea"
"111",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Gallinula galeata"
"112",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Gallinula galeata"
"113",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Quiscalus major"
"114",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Tanysphyrus lemnae"
"115",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Wolffia brasiliensis"
"116",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Anas strepera"
"117",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Anas platyrhynchos"
"118",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Anas castanea"
"119",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Gallinula galeata"
"120",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Gallinula galeata"
"121",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Quiscalus major"
"122",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Rallus limicola"
"123",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Porzana carolina"
"124",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Gallinula galeata"
"125",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Gallinula galeata"
"126",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Gallinula galeata"
"127",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Gallinula galeata"
"128",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Gallinula galeata"
"129",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Fulica americana"
"130",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Anas strepera"
"131",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Anas platyrhynchos"
"132",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Anas castanea"
"133",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Gallinula galeata"
"134",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Gallinula galeata"
"135",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Quiscalus major"
"136",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"pathogenOf","Burkholderia cenocepacia"
"137",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"hasHost","Limnobacter thiooxidans"
"138",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"hasHost","Methylophilus leisingeri"
"139",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"hasHost","Sphingomonas elodea"
"140",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"hasHost","Variovorax paradoxus"
"141",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"hasHost","Herbaspirillum huttiense"
"142",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"hasHost","Serratia marcescens"
"143",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"hasHost","Dyadobacter fermentans"
"144",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"hasHost","Methylobacterium populi"
"145",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"hasHost","Agrobacterium tumefaciens"
"146",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"hasHost","Variovorax paradoxus"
"147",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"hasHost","Microbacterium trichothecenolyticum"
"148",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"hasHost","Methylobacterium extorquens"
"149",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"hasHost","Pseudomonas fluorescens"
"150",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"hasHost","Burkholderia cepacia"
"151",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"hasHost","Zoogloea ramigera"
"152",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"hasHost","Pseudomonas brenneri"
"153",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"hasHost","Rhizobium mongolense"
"154",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Hydrellia personata"
"155",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Myocastor coypus"
"156",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"pathogenOf","Burkholderia cenocepacia"
"157",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"pathogenOf","Burkholderia cenocepacia"
"158",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"pathogenOf","Burkholderia cenocepacia"
"159",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"pathogenOf","Burkholderia cenocepacia"
"160",3,"A1","Lemna gibba community","A1","Spirodela polyrhiza","II",10,NA,NA,"interactsWith","Spirodela polyrhiza"
"161",3,"A1","Lemna gibba community","A1","Spirodela polyrhiza","II",10,NA,NA,"interactsWith","Tracya lemnae"
"162",3,"A1","Lemna gibba community","A1","Spirodela polyrhiza","II",10,NA,NA,"interactsWith","Tracya lemnae"
"163",3,"A1","Lemna gibba community","A1","Spirodela polyrhiza","II",10,NA,NA,"eats","Clarias anguillaris"
"164",3,"A1","Lemna gibba community","A1","Spirodela polyrhiza","II",10,NA,NA,"hasHost","Tracya lemnae"
"165",3,"A1","Lemna gibba community","A1","Spirodela polyrhiza","II",10,NA,NA,"hasHost","Tracya lemnae"
"166",3,"A1","Lemna gibba community","A1","Spirodela polyrhiza","II",10,NA,NA,"hasHost","Tracya lemnae"
"167",3,"A1","Lemna gibba community","A1","Spirodela polyrhiza","II",10,NA,NA,"hasHost","Tracya lemnae"
"168",3,"A1","Lemna gibba community","A1","Spirodela polyrhiza","II",10,NA,NA,"hasHost","Tracya lemnae"
"169",3,"A1","Lemna gibba community","A1","Spirodela polyrhiza","II",10,NA,NA,"hasHost","Tracya lemnae"
"170",3,"A1","Lemna gibba community","A1","Spirodela polyrhiza","II",10,NA,NA,"hasHost","Tracya lemnae"
"171",3,"A1","Lemna gibba community","A1","Spirodela polyrhiza","II",10,NA,NA,"hasHost","Tracya lemnae"
"172",3,"A1","Lemna gibba community","A1","Spirodela polyrhiza","II",10,NA,NA,"hasHost","Tracya lemnae"
"173",3,"A1","Lemna gibba community","A1","Spirodela polyrhiza","II",10,NA,NA,"hasHost","Tracya lemnae"
"174",3,"A1","Lemna gibba community","A1","Spirodela polyrhiza","II",10,NA,NA,"hasHost","Tracya lemnae"
"175",3,"A1","Lemna gibba community","A1","Spirodela polyrhiza","II",10,NA,NA,"hasHost","Tracya lemnae"
"176",3,"A1","Lemna gibba community","A1","Spirodela polyrhiza","II",10,NA,NA,"hasHost","Tracya lemnae"
"177",3,"A1","Lemna gibba community","A1","Spirodela polyrhiza","II",10,NA,NA,"hasHost","Tracya lemnae"
"178",3,"A1","Lemna gibba community","A1","Spirodela polyrhiza","II",10,NA,NA,"hasHost","Tracya lemnae"
"179",3,"A1","Lemna gibba community","A1","Spirodela polyrhiza","II",10,NA,NA,"hasHost","Tracya lemnae"
"180",3,"A1","Lemna gibba community","A1","Spirodela polyrhiza","II",10,NA,NA,"hasHost","Tracya lemnae"
"181",3,"A1","Lemna gibba community","A1","Spirodela polyrhiza","II",10,NA,NA,"hasHost","Tracya lemnae"
"182",3,"A1","Lemna gibba community","A1","Spirodela polyrhiza","II",10,NA,NA,"hasHost","Tracya lemnae"
"183",3,"A1","Lemna gibba community","A1","Spirodela polyrhiza","II",10,NA,NA,"hasHost","Tracya lemnae"
"184",3,"A1","Lemna gibba community","A1","Spirodela polyrhiza","II",10,NA,NA,"hasHost","Tracya lemnae"
"185",3,"A1","Lemna gibba community","A1","Spirodela polyrhiza","II",10,NA,NA,"hasHost","Tracya lemnae"
"186",3,"A1","Lemna gibba community","A1","Spirodela polyrhiza","II",10,NA,NA,"hasHost","Tracya lemnae"
"187",3,"A1","Lemna gibba community","A1","Spirodela polyrhiza","II",10,NA,NA,"hasHost","Tracya lemnae"
"188",3,"A1","Lemna gibba community","A1","Spirodela polyrhiza","II",10,NA,NA,"hasHost","Tracya lemnae"
"189",3,"A1","Lemna gibba community","A1","Spirodela polyrhiza","II",10,NA,NA,"hasHost","Tracya lemnae"
"190",3,"A1","Lemna gibba community","A1","Spirodela polyrhiza","II",10,NA,NA,"hasHost","Tracya lemnae"
"191",3,"A1","Lemna gibba community","A1","Spirodela polyrhiza","II",10,NA,NA,"hasHost","Tracya lemnae"
"192",3,"A1","Lemna gibba community","A1","Spirodela polyrhiza","II",10,NA,NA,"hasHost","Tracya lemnae"
"193",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Peronospora"
"194",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Drupenatus nasturtii"
"195",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Amalorrhynchus melanarius"
"196",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Phaedon cochleariae"
"197",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Phaedon armoraciae"
"198",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Albugo candida"
"199",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Poophagus sisymbrii"
"200",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Nasturtium officinale"
"201",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Cambarus bartonii"
"202",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Gammarus minus"
"203",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Gammarus bousfieldi"
"204",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Spongospora nasturtii"
"205",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Peronospora"
"206",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Drupenatus nasturtii"
"207",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Amalorrhynchus melanarius"
"208",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Phaedon cochleariae"
"209",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Phaedon armoraciae"
"210",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Albugo candida"
"211",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Poophagus sisymbrii"
"212",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Nasturtium officinale"
"213",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Cambarus bartonii"
"214",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Gammarus minus"
"215",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Gammarus bousfieldi"
"216",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Spongospora nasturtii"
"217",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Nasturtium officinale"
"218",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Nasturtium officinale"
"219",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Nasturtium officinale"
"220",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Nasturtium officinale"
"221",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Nasturtium officinale"
"222",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Hydrocotyle verticillata"
"223",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Persicaria amphibia"
"224",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Mentha piperita"
"225",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Bolboschoenus maritimus"
"226",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Paspalum dilatatum"
"227",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Cyperus eragrostis"
"228",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Nasturtium officinale"
"229",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Quercus agrifolia"
"230",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Peronospora"
"231",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Drupenatus nasturtii"
"232",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Amalorrhynchus melanarius"
"233",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Phaedon cochleariae"
"234",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Phaedon armoraciae"
"235",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Albugo candida"
"236",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Poophagus sisymbrii"
"237",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Nasturtium officinale"
"238",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Cambarus bartonii"
"239",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Gammarus minus"
"240",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Gammarus bousfieldi"
"241",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Spongospora nasturtii"
"242",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Drupenatus nasturtii"
"243",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Amalorrhynchus melanarius"
"244",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Phaedon cochleariae"
"245",4,"A1","Lemna gibba community","A1","Nasturtium officinale","II",7,NA,NA,"interactsWith","Phaedon armoraciae"
